mode,treatment_credit,product,label,phase,metric,margin_baseline,stack_cost_max_usd_per_m2_yr,stack_cost_reduction_factor,stack_tic_max_usd_per_m2,extra_loss_max_V,sandwich_thickness_max_mm,V_applied_max_V,current_density_min_A_m2,feasible_at_baseline_j,coulombic_efficiency_min,catholyte_wt_pct_min,price_breakeven_usd_per_kg,price_multiple_needed,env_margin_baseline,stack_gwp_max_kg_per_m2_yr,avoided_gwp_multiple_needed,grid_ci_max_kg_per_kWh
ideal,False,hydrogen,Hydrogen,gas,margin,-98.06212807204666,0.2685400635103008,366.16759097394475,1.3928048592271232,,,,,False,,,38.07779839231287,19.038899196156436,,,,
ideal,False,methane,Methane,gas,margin,-97.54620726249217,-1.9708627398429854,inf,0.0,,,,,False,,,16.98727733568438,67.94910934273751,,,,
ideal,False,carbon_monoxide,Carbon monoxide,gas,margin,-211.25341331609044,-7.660903929434966,inf,0.0,,,,,False,,,6.193966578274584,10.32327763045764,,,,
ideal,False,hydrogen_peroxide,Hydrogen peroxide,liquid,margin,-136.4722084091964,7.6010713196403685,18.954338628104512,34.8205238362359,,,,,False,,,3.961046753045964,3.30087229420497,,,,
ideal,False,formic_acid,Formic acid,liquid,margin,-226.7222982149618,-23.129788828306317,inf,0.0,,,,,False,,,4.111374449571692,6.325191460879527,,,,
ideal,False,acetic_acid,Acetic acid,liquid,margin,-112.97310338532606,-17.397758862676866,inf,0.0,,,,,False,,,5.83756500926092,10.61375456229258,,,,
ideal,False,methanol,Methanol,liquid,margin,-206.33195426456933,-2.7394448779138543,inf,0.0,,,,,False,,,13.744381790590703,30.543070645757115,,,,
ideal,False,ethanol,Ethanol,liquid,margin,-94.62855677697813,0.9467877456710596,100.94695982245499,4.903565207615995,,,,,False,,,9.28152849050057,11.601910613125712,,,,
ideal,False,caustic_soda,Caustic soda,liquid,margin,-85.97888977946945,12.351778356087507,7.960851085632963,64.06350206957177,,,,,False,,,1.2321163305658713,2.4642326611317427,,,,
ideal,False,copper,Copper,solid,margin,695.363260715156,797.6124657588796,0.12819409103196464,4329.372715483533,117.5749001742391,706.4494010454348,117.2149001742391,1.2819976818005032,True,0.12782179810029348,,1.4695047440370639,0.1632783048930071,,,,
